"ID","NAME","BALANCE"
1,"EDWINA BRAZEAL",6885.62
2,"GRETTA GRUNDER",26627.71
4,"LISA WILLIVER",66835.14
5,"NORRIS MICHENER",34774.46
6,"DEAN BOLLICH",45813.92
7,"KATHRYN ROGERS",189249.9
8,"ISIAH DESORCY",75330.07
9,"DAREN BRAVARD",60655.89
10,"CORI ABLIN",119188.55
11,"WYSTERIA ARANA",90188.35
12,"KEVIN SAWLIVICH",147547.41
13,"AMBROSE HIDAY",157662.18
14,"THEODORE KNOWITON",18743.5
15,"GLAUBO RINNAIA",4464.1
16,"MARGARITO CLELAND",149730.63
17,"ERNEST BOYARSKI",191767.43
18,"MICHAEL HARRIS",89948.01
19,"BARI APRESA",171320.81
20,"SHAMEKA KNAPHUS",159499.91
21,"FORREST WERTMAN",137429.94
22,"GLADYS LAUGHERY",179818.53
23,"KIRA BREST",57812.21
24,"EDMOND BARAY",179339.79
26,"MONTE CALLOWAY",199543.78
27,"HAYDEN BRAXTON",14278.79
29,"FLOY CRAVER",77249.44
30,"LIA BURKIN",98315.47
32,"HAZEL BOHS",89235.54
33,"NELSON TATE",126636.71
35,"SHAINA CUFFIA",161748.07
36,"EDWARD RAWLE",113793.46
38,"AYANA BARKHURST",101715.52
39,"MARVA RIEKERT",13159.58
41,"SHALON JOHAL",124442.86
43,"LANELL FLORCZAK",111606.52
45,"JAMES WILLIAMS",17104.42
46,"GRICELDA LUEBBERS",2800.32
48,"LAMONT FESPERMAN",81385.64
50,"KENDRICK CARABALLO",143926.99
51,"KRISTINA LIVSHITS",194363.16
52,"KIMBERLY MCGRAIL",34307.27
54,"NICHOLAS DIAZ",58604.8
55,"HELAINE MCCANLESS",119795.36
57,"MARTIN MUSULIN",6429.41
58,"EFFIE REINHOLT",40806.5
60,"CALLIE ANTRONICA",111923.9
61,"JOSEFA SHILT",144029.39
63,"JANYCE DAIGNAULT",164465.62
64,"RAUL HAELFEIUS",187192.61
66,"CAROL CITINO",51936.42
67,"ERICKA OCONNER",61340.87
69,"CONNIE DELAGARZA",120359.02
70,"MARYANN CHAMP",17523.68
72,"PERCY SHUMSKI",116210.3
74,"DARNELL RAINBOW",82927.33
75,"WONDA RIEXINGER",57851
76,"LAI KURTICH",154434.36
78,"JOLYN SCHNUR",98033.56
80,"ZACHARY BARBERR",165022.46
81,"PING IVEL",143470.78
82,"SHIRLEY WARD",8641.96
84,"KIMIKO BRIEN",191684.55
86,"JOIE SCHOCH",15174.4
87,"JORDON CRAMBLIT",185355.04
89,"EUSTOLIA TEMORES",159872.38
91,"PIA STAPF",25717.36
92,"JACK BROOKS",30257.9
94,"SALOME GUISTI",177525.2
95,"GRACIA SOLDAVINI",5318.75
97,"FELIX FOX",76785.68
98,"VERNIE PACKWOOD",172847.4
100,"PENNIE BUCHANNAN",137363.44
101,"CHEREE KEMP",20224
102,"PATIENCE CALDERSON",8078.12
104,"ZULMA OLDS",150572.1
105,"DANIELLA ALMONTE",26854.33
107,"DANIELA RICK",188641.63
108,"JONELLE DENICE",97053.96
110,"EFREN WALLENTINE",180420.8
111,"WYNONA TENDA",61241.95
113,"KIMI SHIIBA",49348.47
114,"HARRIET AUXUS",98113.97
116,"TANJA VANOVER",100849.66
119,"DARLENE PISANO",99703.34
121,"AZALEE GOODWATER",149820.67
125,"DANITA HEUMANN",198126.81
127,"TOM FEGO",78955.42
132,"IVONNE HONDEL",74048.59
136,"KATHERINE TAGG",194948.89
138,"ENOCH STRINI",172975.53
142,"JANNA DUPERCLAY",191482.95
145,"SANTIAGO VAUTUS",55774.74
149,"DANNIE MCCOIN",91797.81
151,"FLORENCIA HOPKINS",2742.86
153,"CAMI KIRKWOOD",106011.68
158,"LIBRADA LEMPKA",115594.56
160,"MARCO SLIVKA",170225.11
164,"BRANDY GENCO",21484.68
166,"WINNIFRED LACHOWICZ",88738.52
168,"PAULENE PENSICK",113358.63
173,"TYLER CURLEE",46597
175,"YUKI FEWELL",82766.32
179,"TEISHA GRIMSTEAD",125132.97
181,"RUTHANNE BURGOYNE",129225.82
186,"KINA CADEMARTORI",85947.82
188,"SANDY DIFEO",127345.88
192,"CARLOS MAZA",160824.11
194,"LANITA DELOYE",155641.1
199,"HELENA EBERHARD",16190.38
201,"LIBBIE RISHER",43966.95
203,"BASIL HANAGAN",15172.9
208,"DARA BONNEAU",76403.55
210,"GRACIELA VALLEY",142055.06
212,"WALTER TURNER",82529.07
216,"AMI DARDAR",80439.44
218,"NONA KOZUCH",99696.83
223,"DEIRDRE TRUDICS",38642.2
225,"JAIMEE GAMMONS",176736.52
229,"DANIELLE NETT",110004.6
231,"PAMELA GONZALEZ",119498.66
234,"NORMAND LOWNSBERY",192246.98
238,"ANNETTA JUBACK",95198.55
240,"PAM DOMINIS",196317.67
244,"KALEIGH MEADE",7347.67
247,"RUSSEL HEINZELMAN",4088.39
251,"STEFANY WANINGER",5056.16
253,"WINFRED AUGUST",192451.32
257,"LUCILLA GERNER",98353.03
260,"GRAHAM CHAMBERS",39731.71
264,"TRESSA COPPENS",115480.4
266,"TERRELL FLOW",16083.18
270,"GRACIA TSAI",17815.76
273,"OSCAR MOYE",86965.33
275,"SEAN ADAMS",134524.95
279,"ANISA KURTZ",52754.19
281,"VERONICA AUBRECHT",112763.1
286,"JOLEEN HIMMELMANN",188335.35
288,"JUDITH ECKL",175808.67
292,"TYRONE PAPA",23333.52
