login,firstname,lastname,email,emptype
LSCHULTE,Lothur,Schulte,lothur.schulte@example.com,Full-Time
GKLEIN,Gerrit,Klein,gerrit.klein@example.com,Full-Time
LDERICHS,Lutz,Derichs,lutz.derichs@example.com,Full-Time
HSCHUMACHER,Helene,Schumacher,helene.schumacher@example.com,Full-Time
GVOGT,Gitta,Vogt,gitta.vogt@example.com,Full-Time
EBRANDT,Ewald,Brandt,ewald.brandt@example.com,Contractor
RPROTZ,Rosemarie,Protz,rosemarie.protz@example.com,Contractor
WSCHUBERT,Wolf,Schubert,wolf.schubert@example.com,Full-Time
BFRANK,Bernd,Frank,bernd.frank@example.com,Full-Time
DSTAUSS,Dirk,Stauss,dirk.stauss@example.com,Full-Time
